Voltage,Current
-0.1,5.4190566e-12
-0.0266666667,5.32026943e-11
0.0466666667,5.03773904e-10
0.12,3.94558135e-09
0.193333333,2.01871559e-08
0.266666667,6.52024253e-08
0.34,1.65252051e-07
0.413333333,3.80111537e-07
0.486666667,8.29501803e-07
0.56,1.73156066e-06
0.633333333,3.45142287e-06
0.706666667,6.52145838e-06
0.78,1.13483139e-05
0.853333333,1.73203847e-05
0.926666667,2.36552794e-05
1,3.01806802e-05
